"date";"bank";"account";"number";"mode";"payee";"comment";"quantity";"unit";"amount";"sign";"category";"status";"tracker";"bookmarked";"id";"idtransaction";"idgroup"
"2022-10-14";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 131022 MERCHANT       CARTE   4974********4225";"-13.10";"€";"-13.10";"-";"Alimentation > Restaurant";"Y";"";"N";"22";"22";"0"
"2022-10-17";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 151022 MERCHANT       CARTE   4974********4225";"-10.15";"€";"-10.15";"-";"Alimentation > Restaurant";"Y";"";"N";"23";"23";"0"
"2022-10-17";"Bank_001";"Account_001";"";"Débit";"Payee_002";"BOUYGUES TELECOM ECH/171022 ID EMETTEUR/FRXXZZZXXXXXX MDT/XXXXXXXXXX";"-15.99";"€";"-15.99";"-";"Maison > Internet";"Y";"";"N";"24";"24";"0"
"2022-10-19";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 181022 MERCHANT       CARTE   4974********4225";"-17.10";"€";"-17.10";"-";"Alimentation > Restaurant";"Y";"";"N";"25";"25";"0"
"2022-10-19";"Bank_001";"Account_001";"";"Crédit";"Payee_003";"/DE WILLIS TOWERS WATSON FRANCE /MOTIF  XXXXXXXXXX ****************";"27.77";"€";"27.77";"+";"Santé";"Y";"";"N";"26";"26";"0"
"2022-10-20";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 191022 MERCHANT       CARTE   4974********4225";"-5.40";"€";"-5.40";"-";"Alimentation > Restaurant";"Y";"";"N";"27";"27";"0"
"2022-10-20";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 191022 WWW.GREENSUSHI. 00 LOCATION_006       CARTE   4974********4225";"-24.50";"€";"-24.50";"-";"Alimentation > Restaurant";"Y";"";"N";"28";"28";"0"
"2022-10-21";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 201022 MERCHANT  MANDELIEU LA    CARTE   4974********4225";"-1.50";"€";"-1.50";"-";"Automobile > Péage";"Y";"";"N";"29";"29";"0"
"2022-10-21";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 201022 MERCHANT  MANDELIEU LA    CARTE   4974********4225";"-1.60";"€";"-1.60";"-";"Automobile > Péage";"Y";"";"N";"30";"30";"0"
"2022-10-21";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 201022 MERCHANT  MANDELIEU LA    CARTE   4974********4225";"-3.20";"€";"-3.20";"-";"Automobile > Péage";"Y";"";"N";"31";"31";"0"
"2022-10-24";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 211022 MERCHANT       CARTE   4974********4225";"-13.30";"€";"-13.30";"-";"Alimentation > Restaurant";"Y";"";"N";"32";"32";"0"
"2022-10-24";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 221022 MERCHANT      CARTE   4974********4225                LUX";"-17.56";"€";"-17.56";"-";"Soins > Esthétique";"Y";"";"N";"33";"33";"0"
"2022-10-24";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 221022 MERCHANT         PARIS           CARTE   4974********4225";"-20.49";"€";"-20.49";"-";"Alimentation > Restaurant";"Y";"";"N";"34";"34";"0"
"2022-10-24";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 221022 MERCHANT      CARTE   4974********4225                LUX";"-63.45";"€";"-63.45";"-";"Soins > Esthétique";"Y";"";"N";"35";"35";"0"
"2022-10-25";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 241022 MERCHANT  MANDELIEU LA    CARTE   4974********4225";"-3.20";"€";"-3.20";"-";"Automobile > Péage";"Y";"";"N";"36";"36";"0"
"2022-10-25";"Bank_001";"Account_001";"";"Débit";"Payee_001";"DU 241022 MERCHANT  MANDELIEU LA    CARTE   4974********4225";"-3.20";"€";"-3.20";"-";"Automobile > Péage";"Y";"";"N";"37";"37";"0"
